,Function 1,Function 2,Function 3,Function 4,Function 5,Function 6,Function 7,Function 8
1,597,606,562,537,556,544,606,562
2,539,560,544,608,574,606,544,544
3,570,544,563,604,569,556,602,602
4,605,564,539,544,548,596,570,605
5,602,573,611,567,534,588,588,588
6,544,538,557,556,544,569,574,538
7,577,536,560,539,570,534,539,536
8,563,539,589,606,604,567,562,539
9,533,572,602,569,564,574,605,587
10,537,578,534,565,596,605,537,606
11,564,588,608,538,572,598,569,534
12,565,611,605,596,542,570,563,569
13,584,569,584,534,606,589,611,589
14,562,602,574,598,594,538,567,570
15,589,563,603,562,565,611,571,574
16,603,562,596,570,602,536,589,603
17,557,534,573,542,608,562,538,537
18,561,590,588,536,611,539,534,594
19,560,589,572,594,605,604,584,584
20,536,557,566,572,598,563,598,565
21,572,570,594,564,533,602,590,572
22,549,556,567,574,589,564,564,604
23,588,584,590,533,562,587,578,548
24,541,605,587,603,537,542,536,533
25,611,565,571,611,603,537,591,542
26,587,591,577,588,536,584,573,556
27,590,603,564,584,539,578,545,611
28,534,597,569,602,588,573,541,578
29,596,596,542,605,577,594,542,571
30,567,607,537,589,597,603,603,596
31,578,537,536,563,584,572,548,608
32,608,571,547,557,587,590,565,567
33,542,598,549,578,561,560,577,563
34,574,548,578,548,567,557,566,564
35,573,577,570,560,538,591,556,607
36,606,567,582,573,578,566,557,577
37,604,574,538,577,549,545,582,598
38,582,594,565,547,563,565,572,541
39,571,566,606,607,541,547,560,597
40,566,549,598,549,545,577,608,566
41,591,533,591,566,573,548,547,547
42,556,608,556,590,590,608,596,545
43,594,587,541,571,591,549,604,557
44,569,561,548,591,566,607,587,549
45,538,547,533,587,607,571,594,573
46,598,541,604,545,547,597,561,560
47,545,582,597,597,557,533,533,590
48,547,604,545,541,571,541,607,591
49,548,542,607,582,560,582,597,582
50,607,545,561,561,582,561,549,561
